,text
412,"El ex presidente Bill Clinton presenta ""Lincoln"" en los #GoldenGlobes"
413,Bill Clinton presenting Lincoln  #GoldenGlobes
414,Clinton presentando Lincoln. Se acaban de borrar las esperanzas de ganar de todas las otras pelis. #goldenglobes
415,Bill Clinton presenting Lincoln...wut? #goldenglobes
416,“@tvwatch: Gostei da relação Bill Clinton apresentando Lincoln. Oscars se mordendo de inveja da ideia. #GoldenGlobes”
417,"Solo en los #GoldenGlobes llaman a un ex presidente de los EEUU para presentar La película sobre #Lincoln, pues #HighBudget"
418,"RT @TheAdvocateMag: Woah, Bill Clinton is at the #GoldenGlobes as a presenter?!"
419,A lot of beautiful women presenting tonight! #GoldenGlobes
420,Y se llevaron a #BillClinton a presentar #Lincoln Estúpidos y mediáticos gringos! #GoldenGlobes👍
421,Bill Clinton presenting #Lincoln #GoldenGlobes
422,Acertadisimo...Bill Clinton haciendo el preambulo de presentacion de la nominada 'Lincoln' en los #GoldenGlobes
423,"RT @peopleenespanol: Bill Clinton presenta 'Lincoln', una de las nominadas a Mejor película dramática. #GoldenGlobes"
424,"Bill Clinton en los #GoldenGlobes presenta a ""Lincoln"""
425,"Daniel Day-Lewis presenta el clip de ""Lincoln"" caracterizado de Bill Clinton. Impresionante. #GoldenGlobes"
426,me hago pipi si un presidente presenta mi pelicula #goldenglobes
427,@P3rlaDavid el es un estupido. *!_!* ya se pusieron estupidos los #GoldenGlobes con quien entro a presentar a Lincoln.
428,The guy who rented out the Lincoln Bedroom during his stay in the White House presents Lincoln the film at the #GoldenGlobes!
429,Bill Clinton is better at speaking than all of the presenters combined #goldenglobes
430,"Clinton presenting Spielberg's ""Lincoln"" #goldenglobes"
431,Bill Clinton presenting Lincoln #amazing #GoldenGlobes
432,"Bill Clinton en los #GoldenGlobes presenta ""Lincoln"" de Steven Spielberg"
433,"RT @revistaVIP: Bill Clinton para apresentar LINCOLN, do Spielberg. Acho que está claro o grau do lobby. Só louco aposta contra. #GoldenGlobes"
434,"RT @peopleenespanol: Bill Clinton presenta 'Lincoln', una de las nominadas a Mejor película dramática. #GoldenGlobes"
435,"RT @HuffPostEnt: I look forward to George W. Bush's presentation of ""Moonrise Kingdom."" #goldenglobes"
436,"#BillClinton presenting #Lincoln, well played @goldenglobes"
437,RT @amylutz4: A DEMOCRAT IS PRESENTING LINCOLN??? #facepalm #GoldenGlobes
438,Supuse q para presentar la Pelicula Lincoln!! #GoldenGlobes
439,"RT @Foro_TV: El ex presidente Bill Clinton presenta ""Lincoln"" en los #GoldenGlobes"
440,"RT @EonlineLatino: El Ex Presidente de los Estado Unidos, Bill Clinton, presenta un preview de Lincoln de Steven Spielberg. #GoldenGlobes"
441,"Bill Clinton is presenting Lincoln, which means tonight's ceremony will end sometime tomorrow morning. #ShowUsYourGlobes #GoldenGlobes"
442,"For all those people who think Hollywood isn't liberal/leftist, Bill Clinton (Dem) is presenting movie Lincoln (Rep) at Golden Globes"
443,"RT @HuffPostEnt: I look forward to George W. Bush's presentation of ""Moonrise Kingdom."" #goldenglobes"
444,Solo un presidente (Bill Clinton) puede presentar la pelicula de otro presidente #Lincoln #GoldenGlobes
445,LINCOLN.. De el Magnífico Spielberg.. Presentado por Bill Clinton.. Que más puedea pedir? ?? #GoldenGlobes
446,Bill Clinton se pasa por la entrega 70 de los Golden Globes para presentar la película nominada ’Lincoln’  #GoldenGlobes
447,“@perucom: Expresidente Bill Clinton se presenta en #GoldenGlobes y es ovacionado” @VirCardenas
448,Wow!  President Clinton presenting Lincoln!  Totally cool.  #GoldenGlobes #PowerofCompromise
449,Bill Clinton che presenta Lincoln... #GoldenGlobes
450,"Un expresidente presentando a una película sobre un expresidente. Well done, Golden Globes. #GoldenGlobes."
451,"RT @HuffPostEnt: I look forward to George W. Bush's presentation of ""Moonrise Kingdom."" #goldenglobes"
452,Después q B. Clinton presenta Lincoln en los #GoldenGlobes es claro quien va a ganar mejor política
453,Bill Clinton presenta Lincoln O.O #goldenglobes Guaaaaoooo!
454,Bill Clinton presentando la película de Lincoln #GoldenGlobes
455,"#GoldenGlobes un presidente, presentando la nominada de Spielberg: Clinton a Lincoln...guau!!!"
456,RT @alfred_hit: Y se llevaron a #BillClinton a presentar #Lincoln Estúpidos y mediáticos gringos! #GoldenGlobes👍
457,Wish the other presenters could talk as smoothly as Clinton... #goldenglobes
458,"RT @peopleenespanol: Bill Clinton presenta 'Lincoln', una de las nominadas a Mejor película dramática. #GoldenGlobes"
459,"RT @Hismael7: Solo en los #GoldenGlobes llaman a un ex presidente de los EEUU para presentar La película sobre #Lincoln, pues #HighBudget"
460,RT @TentacionElChou: Bill Clinton da la entrada para presentar Lincoln de Steven Spielberg #GoldenGlobes
461,Mucha mamada para presentar un snipet de Lincoln. #GoldenGlobes
462,"Si encuentran a alguien mejor que Bill Clinton para presentar ""Lincoln"" de Spielberg, me avisan #GoldenGlobes"
463,RT @elalexgoncalves: Bill Clinton presenta #Lincoln en los #GoldenGlobes pfff puntazo pa la producción!
464,Anddd Bill Clinton is a presenter. FTW. #GoldenGlobes
465,Así es RT @elalexgoncalves: Bill Clinton presenta #Lincoln en los #GoldenGlobes pfff puntazo pa la producción!
466,“@goldenglobes: Former President Bill Clinton just took the stage! #GoldenGlobes” // Para presentar Lincoln !!!
467,RT @elalexgoncalves: Bill Clinton presenta #Lincoln en los #GoldenGlobes pfff puntazo pa la producción!
468,"#goldenglobes Clinton is a better presenter than lots of the"" professional""actors.Proves again, you need to be a good actor in politics!"
469,"RT @revistaVIP: Bill Clinton para apresentar LINCOLN, do Spielberg. Acho que está claro o grau do lobby. Só louco aposta contra. #GoldenGlobes"
470,"RT @jeffpaiva: Que moral: o clipe de ""Lincoln"" é apresentado por um presidente americano. #GoldenGlobes"
471,"RT @EonlineLatino: El Ex Presidente de los Estado Unidos, Bill Clinton, presenta un preview de Lincoln de Steven Spielberg. #GoldenGlobes"
472,Love that Pres Clinton presented the Lincoln clip! #GoldenGlobes #notexpectingthat
473,"and now,  presenting the award for best children's animated series, George W. Bush. #GoldenGlobes"
474,"Clinton presenta ""Lincoln"". A seguire, una tigre presenterà ""Vita di Pi"" e Bin Laden presenterà ""Zero Dark Thirty"". #GoldenGlobes"
475,Oh shit! Bill Clinton presenting at the #GoldenGlobes!
476,I bet speaking at the '04 @Cornell graduation was more thrilling for Bill Clinton than presenting @ #goldenglobes . #wishfulthinking
477,RT @FilmBuff: How appropriate that Bill Clinton presents Lincoln...kinda love Lena Dunham took a pic of Clinton with her phone. #goldenglobes
478,"RT @VanityFair: The waiter who was supposed to deliver Quentin Tarantino's screwdriver wandered onstage, is presenting w/ Jessica Alba at the #GoldenGlobes."
479,RT @Terracolombia: Bill Clinton presenta la película 'Lincoln' en los #GoldenGlobes. El film con mayor número de nominaciones en esta edición.
480,Não que Steven Spielberg precise... Mas ter Bill Clinton apresentando seu filme é muito badass!! #GoldenGlobes
481,"El ex presidente de los EE. UU., Bill Clinton, en el escenario de los @goldenglobes, presentando ""Lincoln""."
482,Everyone get on your feet like you're at the Golden Globes and Bill Clinton's presenting.
483,Bill Clinton as a surprise presenter!! Lincoln is an AMAZING MOVIE!!! #GoldenGlobes
484,"RT @EonlineLatino: El Ex Presidente de los Estado Unidos, Bill Clinton, presenta un preview de Lincoln de Steven Spielberg. #GoldenGlobes"
485,"RT @peopleenespanol: Bill Clinton presenta 'Lincoln', una de las nominadas a Mejor película dramática. #GoldenGlobes"
486,RT @nathaliaborghi: Bill Clinton se perdeu e chamaram ele pra apresentar algo. #GoldenGlobes
487,"RT @HuffPostEnt: I look forward to George W. Bush's presentation of ""Moonrise Kingdom."" #goldenglobes"
488,"Her: ""why is Bill Clinton presenting on this awards show?"" Me: ""Tell me more about these 'Golden Globes'"""
489,Yaaaa!! Clinton presenta Lincoln en #GoldenGlobes Esta pelicula se va a llevar el premio a mejor peli y en los Oscars tb
490,President Clinton getting a standing ovation and presenting Lincoln as a best motion picture nominee. Now THAT'S #MERICA #GoldenGlobes
491,Presenter of the year goes to President Bill Clinton! #GoldenGlobes
492,Hola Bill Clinton presenta mi película aja aja soy un duro #GoldenGlobes
493,Vuelve a estar la pesadilla de presentadora inicial?? #GoldenGlobes
494,"RT @HuffPostEnt: I look forward to George W. Bush's presentation of ""Moonrise Kingdom."" #goldenglobes"
495,They literally haven't said anything and they're already the best presenters up there. #GoldenGlobes
496,Essas são as melhores apresentadoras possíveis para o #GoldenGlobes
497,Love that Clinton just presented Lincoln for best picture at the Golden Globes #presidentsclub
498,"RT @jonathantony: Bill Clinton is presenting at the Golden Globes? What the heck?

George Clooney's heart is going to burst out of his chest."
499,"Well gosh, let me think...nawww....don't care.. “@kare11: Former President Bill Clinton now on stage at the Golden Globes! He's presenting"
500,"RT @EonlineLatino: El Ex Presidente de los Estado Unidos, Bill Clinton, presenta un preview de Lincoln de Steven Spielberg. #GoldenGlobes"
501,"Qué padre que Salinas de Gortari presentara un premio en los Tv y Novela, de seguro le aplaudirían igual que a Bill Clinton #GoldenGlobes"
502,"RT @CIAspygirl: Bill Clinton presented #Lincoln @GoldenGlobes, seemed more appropriate than him presenting #ZeroDarkThirty."
503,":o ! Buscando regresar? mmm ""@perucom: Expresidente Bill Clinton se presenta en #GoldenGlobes y es ovacionado"""
504,Kristen Wiig i Will Ferrell podrien ser perfectament la propera parella de presentadors dels #GoldenGlobes
505,"RT @Janaji: Daniel Day-Lewis presenta el clip de ""Lincoln"" caracterizado de Bill Clinton. Impresionante. #GoldenGlobes"
506,Nadie mejor que el carismático #BillClinton para presentar la película Lincoln en los #GoldenGlobes
507,Como sabemos que casi todos uds son fans de Saturdan Night Live no necesitamos presentar a estos presentadores #GoldenGlobes
508,"El Ex Presidente de los Estado Unidos, Bill Clinton, presenta un preview de Lincoln de Steven Spielberg. #GoldenGlobes"
509,Kristen Wiig and Will Ferrell presenting together. Someone pinch me! #GoldenBert #GoldenGlobes.
510,“@Terracolombia: Bill Clinton presenta la película 'Lincoln' en los #GoldenGlobes. El film con mayor número de nominaciones en esta edición.
511,RT: @goldenglobes: Former President Bill Clinton just took the stage! #GoldenGlobes” // presentando Lincoln OMG!! Too much?
512,"RT @TheAdvocateMag: Woah, Bill Clinton is at the #GoldenGlobes as a presenter?!"
513,Bill Clinton presenting Lincoln - love it!! #GoldenGlobes
514,"Goodness, great presenters! #GoldenGlobes"
515,Will Farrel and Kristen Wiig presenting is a joy to watch #goldenglobes
516,@mariocimarro #GoldenGlobes Bill Clinton en el escenario para presentar Lincoln..
517,Bill Clinton just presented at the #GoldenGlobes ... #what
518,Kristen Wiig también debería haber estado presentando la gala #GoldenGlobes
519,Why does Will Ferrel have a mustache presenting at the Golden Globes? Anchorman 2....that's why. #hellyes
520,The #goldenglobes should do a year where the hosts and all the presenters are @nbcsnl cast members #sweepingtheshow
521,"RT @HelenTuttle: The Hollywood Elite at the Golden Globes are orgasming over the arrival onstage of Bill Clinton as a presenter/previewer of ""Lincoln"".  Ugh."
522,Se depravaron con Bill Clinton presentando a Lincoln en los golden globes.
523,Qué nivel el de los golden globes. Clinton en vivo y directo presentando a una de las nominadas.
524,"Órale Bill Clinton en los Golden Globes, quién lo diría y presentando a Lincoln como mejor película!"
525,acho tao feio mulher que nao tem peito usar decote grande fica td esquisito ex: a mulher que ta apresentado agora no golden globes
526,Shocker. Standing O for Bill Clinton presenting at Golden Globes. Ugh. Changing channel...
527,RT @colehaan: The BEST award presentation of life. #willferrell #kirstenwiig #GoldenGlobes
528,"RT @peopleenespanol: Bill Clinton presenta 'Lincoln', una de las nominadas a Mejor película dramática. #GoldenGlobes"
529,RT @StillLore: Kristen Wiig también debería haber estado presentando la gala #GoldenGlobes
530,Ya quisiera @FelipeCalderon presentarse en los #tvYNovelasAwards presentar una nominación y que el público lo reciba de pies! #GoldenGlobes
531,Will Feral wins best presenter of any award. #GoldenGlobes
532,RT @WhoRepresents: Kevin Costner is with WME and longtime manager JJ Harris. Rogers and Cowan PR. #GoldenGlobes
533,RT @VanityFair: “What an exciting special guest. That was Hillary Clinton's husband!” - Amy Poehler on guest presenter/#GoldenGlobes star Bill Clinton
534,Lmfao Kristen Wiig &amp; Will Ferrell are the best presenters! #GoldenGlobes #PeopleGlobes
535,Will Ferrel and Kristen Wiig making it like they have no idea what the films are about they are presenting. Funny funny shit. #GoldenGlobes
536,RT @VanityFair: “What an exciting special guest. That was Hillary Clinton's husband!” - Amy Poehler on guest presenter/#GoldenGlobes star Bill Clinton
537,"RT @EonlineLatino: El Ex Presidente de los Estado Unidos, Bill Clinton, presenta un preview de Lincoln de Steven Spielberg. #GoldenGlobes"
538,Se la comieron con el ex presidente Bill Clinton  presentando la película Lincoln de Steven Spielberg ... #goldenglobes
539,"Depois do #GoldenGlobes colocar o Clinton para apresentar Lincoln, alguém tem dúvida q o filme ganhará todos os prêmios existentes?"
540,This is the best presenting ever. #WillFerrel #theothergirl #GoldenGlobes
541,RT @VanityFair: “What an exciting special guest. That was Hillary Clinton's husband!” - Amy Poehler on guest presenter/#GoldenGlobes star Bill Clinton
542,RT @StillLore: Kristen Wiig también debería haber estado presentando la gala #GoldenGlobes
543,esse pessoal da platéia é pago pra rir das piadinhas dos apresentadores né? #GoldenGlobes
544,Will Ferrel and Kristen Wiig presenting together at the #GoldenGlobes #Ithinkyes
545,"This is definitely the best presentation so far. Thank you, SNL. #GoldenGlobes"
546,"Eita... Bill Clinton apresentando Lincoln no #GoldenGlobes! O filme deve ser muito bom, mas senti um momento merchan meio forçadinho ;)"
547,RT @VanityFair: “What an exciting special guest. That was Hillary Clinton's husband!” - Amy Poehler on guest presenter/#GoldenGlobes star Bill Clinton
548,LOVING Will Ferrell's #Anchorman 'stache as he presents at the #GoldenGlobes
549,RT @VanityFair: “What an exciting special guest. That was Hillary Clinton's husband!” - Amy Poehler on guest presenter/#GoldenGlobes star Bill Clinton
550,Bestest presenters #GoldenGlobes
551,Attention presenters: a sign-up sheet for Teleprompter 101 taught by Bill Clinton is circulating the room. #GoldenGlobes
552,"RT @mousterpiece: Dear #GoldenGlobes folks: for future reference, just let SNL alums host your show. And do all the presenting. And the acceptance speeches."
553,Favorite presenters by far! #WigFerrell #goldenglobes
554,Un ex presidente aplaudido en los golden globes presentando peli.Cuando podremos volver a aplaudir a un ex presi aunque no lo hayamos votado
555,"Bill Clinton presenta 'Lincoln', una de las nominadas a Mejor película dramática. #GoldenGlobes"""
556,"RT @mousterpiece: Dear #GoldenGlobes folks: for future reference, just let SNL alums host your show. And do all the presenting. And the acceptance speeches."
557,RT @GabrielleAdelle: Wiig and Ferrell are killing me! Best presenters ever. #GoldenGlobes
558,Uhu mkt de primeira levar o Clinton pra apresentar Lincoln no #goldenglobes
559,"RT @EonlineLatino: El Ex Presidente de los Estado Unidos, Bill Clinton, presenta un preview de Lincoln de Steven Spielberg. #GoldenGlobes"
560,lmaoooo!!! who are these people presenting lmaoo #goldenglobes OMGS ! I AM WEAK !
561,Bill Clinton presents at the #GoldenGlobes! I'm wondering how many Presidents have done that..
562,RT @Starrzila: fav qte:“What an exciting special guest. That was Hillary Clinton's husband!”  Poehler on guest presenter/#GoldenGlobes star Bill Clinton
563,"RT @mousterpiece: Dear #GoldenGlobes folks: for future reference, just let SNL alums host your show. And do all the presenting. And the acceptance speeches."
564,Best presentation of the night hands down. #Snl #GoldenGlobes
565,Will Farrell and Kristen Wiig - comedy dream team!!! Presenters of next Golden Globes? #Goldenglobes
566,"RT @EonlineLatino: El Ex Presidente de los Estado Unidos, Bill Clinton, presenta un preview de Lincoln de Steven Spielberg. #GoldenGlobes"
567,"I remember when being the President of the United States was more than being a presenter for an awards show.
#goldenglobes  #clinton"
568,Okay this is awesome. Can we get these two presenting next year if Amy and Tina won't do it? #GoldenGlobes
569,This shows that sometimes you need to play the presenters off... #GoldenGlobes
570,Estos son los mejores presentadores ever. #GoldenGlobes
571,Kristen Wiig and Will Ferrell presenting i'm dying right now #GoldenGlobes
572,"RT @EonlineLatino: Kristen Wiig y Will Ferrell presentan la categoría ""Mejor Actriz en Película Comedia o Musical"", como mejor lo saben hacer. #GoldenGlobes"
573,"RT @CNNMex: El expresidente Bill Clinton presenta la cinta 'Lincoln', ""una guía para futuros presidentes"" #GoldenGlobes http://t.co/HgHLAy4S"
574,that awkward moment when award presenters think they're funny... #goldenglobes
575,RT @JonCozart: Could you imagine if George W. Bush presented? #goldenglobes
576,Kristen Wig y Will Ferrer haciendo la mejor presentación de un premio EVER. Insuperables. #GoldenGlobes
577,"RT @EonlineLatino: El Ex Presidente de los Estado Unidos, Bill Clinton, presenta un preview de Lincoln de Steven Spielberg. #GoldenGlobes"
578,#GoldenGlobes loving the presentation of best actress in a comedy or musical
579,Kristen Wiig and Will Ferrell should win an award for best presenters. #hilarious #GoldenGlobes
580,Best presenters ever!!! Thank you! #hilarious #WillFarrell #GoldenGlobes
581,Obviamente tienen que poner a todo el elenco o exelenco de snl a presentar todos los premios #goldenglobes
582,"Finally I'm cracking up at presenters. Thank you, Kristin and Will for waking me up. Hilarious #GoldenGlobes"
583,RT @LaceyVRose: Presenters Will Ferrell &amp; Kristin Wiig = Comedic Gold. #GoldenGlobes
584,Demasiada larga y boba la presentación de Will Ferrell #GoldenGlobes
585,Lol #GoldenGlobes. The presenters are hilarious.
586,"Finally, presenters who give the awards the respect they deserve #GoldenGlobes"
587,RT @VanityFair: “What an exciting special guest. That was Hillary Clinton's husband!” - Amy Poehler on guest presenter/#GoldenGlobes star Bill Clinton
588,Hillary Clinton's husband is an excellent presenter - @amyphoehler #goldenglobes
589,Not the first time Bill Clinton appeared at the #GoldenGlobes. He did a video presentation at 2005 show to thank all for Tsunami appeal
590,@goldenglobes Loved that awkward presentation!
591,RT @peopleenespanol: Will Ferrell y Kristen Wiig se están robando el show presentando el premio a Mejor actriz en un musical o comedia (Cine). #GoldenGlobes
592,RT @tina_yip: I'm dying.  Will Farrell + Kristin Wigg = best presenters. OMG hahahahah #goldenglobes
593,"Amy Poehler: ""Gran presentador ese marido de Hillary"". #GoldenGlobes"
594,"Kristen Wiig and Will Ferrell win at presenting. Good call, whoever decided to let them do this. #GoldenGlobes"
595,"Gran sorpresa el ex Presidente, Bill Clinton, presenta un preview de Lincoln de Steven Spielberg. #GoldenGlobes"
596,Tommy Lee Jones never cracked a smile when Kristin Wiig and Will Ferrell were presenting.  Funniest moment of the night. #GoldenGlobes
597,By far the best presenters so far Will Farrell and his co presenter(can't remember her name) #GoldenGlobes
598,Oh my... snl presenters. #goldenglobes
599,"Humor de primeira no #GoldenGlobes. Aprendas, roteiristas e apresentadores brasileiros."
600,#KristinWiig and #WillFerrell = Best Presenters at the #GoldenGlobes BY FAR! I'm still laughing! #GetOuttaHere!
601,"RT @mousterpiece: Dear #GoldenGlobes folks: for future reference, just let SNL alums host your show. And do all the presenting. And the acceptance speeches."
602,"RT @TheAdvocateMag: Woah, Bill Clinton is at the #GoldenGlobes as a presenter?!"
603,Best presentation at any award show ever. Kristen Wiig and Will Ferrell. #GoldenGlobes #YouGetOutOfHere!!!
604,"RT @EonlineLatino: Kristen Wiig y Will Ferrell presentan la categoría ""Mejor Actriz en Película Comedia o Musical"", como mejor lo saben hacer. #GoldenGlobes"
605,"RT @planetaurbe: Llevar a Bill Clinton a los #GoldenGlobes para presentar el corto de ""Lincoln"" fue muy ganador. A todos se les bajaron las pantaleticas."
606,Anal Bum Cover for 7000 RT @RadioHolly: Ron Burgundy (slash) Alex Trebek as presenter? YES!! #GoldenGlobes
607,"Ferrell &amp; Wiig! YES!!!! The nominee presentation was brilliant! #GoldenGlobes
Comedy genius!"
608,RT @kerrywashington: Kerry will be presenting at TONIGHT's @GoldenGlobes 8ET/5PT on NBC!  Red carpet at 6ET/3PT Tune In! RT http://t.co/rHxgbG9b -kw's krew
609,RT @kerrywashington: Kerry will be presenting at TONIGHT's @GoldenGlobes 8ET/5PT on NBC!  Red carpet at 6ET/3PT Tune In! RT http://t.co/rHxgbG9b -kw's krew
610,"RT @CarolynHinsey: All the actors could take a lesson from Bill Clinton, the best presenter by far at the #GoldenGlobes. #SpeakSlowly #CarryABigStick"
611,"RT @WonderwallMSN: If there was an award for best #goldenglobes presenters, like, EVER. Yeah, them. #goldenglobes"
612,"Best presentation ever!! Will Ferrel and Kristen Wiig! ""get out of here""!! #GoldenGlobes"
613,"Mejor Actriz - Comedia o Musical: Jennifer Lawrence, Silver Linings Playbook.Presentado por Will Ferrell y Kristen Bell #GoldenGlobes"
614,"RT @Funcion_Exc: A Bill Clinton le corresponde presentar la película ""Lincoln"", en competencia por Mejor Película. #GoldenGlobes"
615,Omg that was the best presentation ever!!! And yay to J La!! Lol! #SilverLiningsPlaybook #GoldenGlobes
616,"RT @vayatele: Creo que ya sabemos quiénes tienen que presentar la gala del año que viene, ¿no? #GoldenGlobes"
617,RT @JonPaula: Awkward cutaway to Tommy Lee Jones during a really funny presentation by Ferrell and Wiig.  #GoldenGlobes
618,Kristen Wiig y Will Ferrell presentando los nominados a mejor actriz en una comedia o musical. Se ganaron la noche. #GoldenGlobes
619,#WillFerrell best presenter #GoldenGlobes
620,Tommy Lee Jones is the only one not laughing at this awesome Ferrell Wigg presentation #GoldenGlobes http://t.co/vPxnFdgZ
621,Wiig and Ferrell show how categories should be presented. #GoldenGlobes
622,RT @eonline: We're not sure what award J.Lo was presenting. We were a little distracted. #haygirl #GoldenGlobes http://t.co/gKPhfmwo
623,Omg that presentation was hilarious and Jennifer Lawrence won so like major win #yay #excited #GoldenGlobes
624,I haven't seen any of the movies Kristin and Will are presenting.. But I have a feeling I'll hear 'You get ouuut' a lot... #GoldenGlobes
625,RT @maybarakat: I seriously die for Kristen Wiig and Will Ferrell.  Best. Presenters. Ever. #GoldenGlobes
626,"RT @EonlineLatino: Kristen Wiig y Will Ferrell presentan la categoría ""Mejor Actriz en Película Comedia o Musical"", como mejor lo saben hacer. #GoldenGlobes"
627,RT @ApertureSciPR: You could argue that presentation went on way too long.... But it was amazing. #GoldenGlobes
628,Looked like Bill Clinton was clearly a surprise presenter? Standing ovation. #foreveraballer #presidentialswagger #GoldenGlobes
629,RT @VanityFair: “What an exciting special guest. That was Hillary Clinton's husband!” - Amy Poehler on guest presenter/#GoldenGlobes star Bill Clinton
630,RT @eonline: We're not sure what award J.Lo was presenting. We were a little distracted. #haygirl #GoldenGlobes http://t.co/gKPhfmwo
631,OMG Kristen Wigg with Will Ferrel presenting! I can’t! #toofunny 😂😂😂 #GoldenGlobes
632,I wish awards shows would just stick to presenting awards #GoldenGlobes
633,RT @BootsandHearts: Kirstin Whig &amp; Will Farrell - best presenters so far @goldenglobes @BootsandHearts
634,"Jennifer Lawrence, you are a classy woman. Let's please be friends? Good job for beating Meryl and having the best presenters. #GoldenGlobes"
635,RT @VanityFair: “What an exciting special guest. That was Hillary Clinton's husband!” - Amy Poehler on guest presenter/#GoldenGlobes star Bill Clinton
636,RT @Just_Adly: I love...love...love...when they have comedians as award presenters!!!!  Kudos #GoldenGlobes.
637,RT @VaneCasanova: Ver a Bill Clinton presentar el trailer de Lincon en los #GoldenGlobes me da como envidia. Debe ser muy fino tener expresidentes!
638,Will Farrell and Kristen wiig were hilarious presenters #GoldenGlobes
639,"RT @beautygnome: Ok Kristen Wiig and Will Ferrell are by far the best presenters, everyone else go home. #GoldenGlobes"
640,"RT @FestivalReviews: Clinton is the only presenter who memorized his lines, or did he write them? #Goldenglobes"
641,"Now that she's done presenting, maybe Kristen Wiig can go find the missing part of her dress.
#GoldenGlobes"
642,"RT @EonlineLatino: El Ex Presidente de los Estado Unidos, Bill Clinton, presenta un preview de Lincoln de Steven Spielberg. #GoldenGlobes"
643,Hands down best presentation ever by Kristen Wiig and Will Farrell. So freakin funny #GoldenGlobes
644,RT @BootsandHearts: Kirstin Whig &amp; Will Farrell - best presenters so far @goldenglobes @BootsandHearts
645,#JenniferLawrence Representing Louisville!! Congrats!!!! #GoldenGlobes
646,Will and Kristen just killed it as presenters at the # goldenglobes ......friggin hilarious
647,RT @peopleenespanol: Will Ferrell y Kristen Wiig se están robando el show presentando el premio a Mejor actriz en un musical o comedia (Cine). #GoldenGlobes
648,RT @chicofireman: Melhor apresentação de indicados da história! #goldenglobes
649,"PRECISO DE UM MINUTO PRA PROCESSAR ESSA APRESENTAÇÃO, A J LAW GANHANDO E ESSE AGRADECIMENTO!! #GoldenGlobes"
650,Kristen Wiig and Will Ferrell were phenomenal presenters! #FutureHosts #GoldenGlobes
651,#GoldenGlobes Tommy Lee Jones not at all amused by Will &amp; Kristin's presentation...lol
652,"RT @WonderwallMSN: If there was an award for best #goldenglobes presenters, like, EVER. Yeah, them. #goldenglobes"
653,Katherine Weigel and Will Ferrell just frickin' rocked  a Golden Globes presentation. Damn funny
654,Will Farrell &amp; Kristin Wig presenting together at the Golden Globes ....HYSTERICAL!!!!!!
655,"RT @LuSapena: qué locoo ree aplaudido Bill Clinton en los #GoldenGlobes presentando el trailer de Lincoln , genial @Villamorra"
656,RT @elalexgoncalves: Bill Clinton presenta #Lincoln en los #GoldenGlobes pfff puntazo pa la producción!
657,Is Nathan presenting right now? :D #GoldenGlobes
658,RT @RobinGivhan: All #goldenglobes presenters should be from SNL.
659,Too much Bill Clinton presentando a Lincoln #GoldenGlobes
660,That Kristen Wiig/Will Ferrell improvised bit has got to be one of the funniest award presentations I've ever seen. EVER. #GoldenGlobes
661,"RT @EonlineLatino: Kristen Wiig y Will Ferrell presentan la categoría ""Mejor Actriz en Película Comedia o Musical"", como mejor lo saben hacer. #GoldenGlobes"
662,"RT @TheJoe22: Will Ferrel and Kristen Wiig, best presenters so far. Best is the guy staring blankly into the camera not amused 😂 #GoldenGlobes"
663,"Originalìsima presentaciòn del premio a Actriz de comedia x Will Ferrell y Kristen Wiig, genial!! Jajaja  #goldenglobes"
664,RT @zozozoeee: Can we start a petition to just have SNL current and past members be all the presenters? #GoldenGlobes
665,“@maybarakat: I seriously die for Kristen Wiig and Will Ferrell.  Best. Presenters. Ever. #GoldenGlobes” #stilllaughing
666,Clinton en los #goldenglobes para presentar Lincoln
667,@goldenglobes ok that was the best presenters skit I have ever seen! FUNNY!!!
668,RT @elalexgoncalves: Bill Clinton presenta #Lincoln en los #GoldenGlobes pfff puntazo pa la producción!
669,Best presenters EVER goes to Will Ferrell and Kristen Wiig. #GoldenGlobes
670,Tommy Lee Jones couldn't have looked less enthused during Kristen Wiig &amp; Will Ferrell's award presentation. #goldenglobes
671,RT @MoneySmith4: The Golden Globes are boring to watch but it's on because of my sister and I must say that presentation by Will Ferrell was great #Hilarious
672,"Bill clinton presenting ""Lincoln"" at the golden globes
WHAT? 
One day u r a president and the next u r at an awards show!

Media! 
Life"
673,"Oscars, good luck trying to one up Golden Globes.  Cuz they had former President Bill Mack Daddy Clinton as presenter!!! #GoldenGlobes"
674,"RT @Morgan_MH: That was the best presentation of an award that I have ever seen. Kristen Wiig and Will Ferrell, thank you for existing. #goldenglobes"
675,RT: @tay_cheetah: Kristen Wiig and Will Ferrell. Best presenters of the #goldenglobes
676,"Funniest, best presenters so far goes to Will Ferrell and Kristen Wiig #GoldenGlobes"
677,RT @elalexgoncalves: Bill Clinton presenta #Lincoln en los #GoldenGlobes pfff puntazo pa la producción!
678,"RT @ShockUhDeliCA: Oscars, good luck trying to one up Golden Globes.  Cuz they had former President Bill Mack Daddy Clinton as presenter!!! #GoldenGlobes"
679,There are a lot of people presenting/attending the #GoldenGlobes who are also in commercials during the awards show #coincidence?
680,Kristen Wiig &amp; Will Ferrell best presenters #GoldenGlobes
681,Loving all the ladies representing for #comedy tonight at the @goldenglobes
682,SNL cast killin itttt at the #GoldenGlobes! I love when presenters are actually funny!
